name,location,city,state,country,start date,end date,latitude,longitude,site url,register now url,description
Roanoke Valley Comicon,Tanglewood Mall,Roanoke,VA,United States,04/09/2016,,37.232608,-79.976543,http://www.roanokevalleycomicon.com/,,
Long Beach Comic Expo,"Long Beach Convention Center, 300 E. Ocean Boulevard",Long Beach,CA,United States,02/20/2016,02/21/2016,33.764530,-118.191779,http://www.longbeachcomiccon.com/,,
Calgary Comic & Entertainment Expo,,Calgary,AB,Canada,04/28/2016,05/01/2016,,,http://www.calgaryexpo.com/,,
Tampa Bay Comic Con,Tampa Convention Center,Tampa,FL,United States,08/05/2016,08/07/2016,,,http://www.tampabaycomiccon.com/,,
MegaCon,Orange County Convention Center,Orlando,FL,United States,05/26/2016,05/29/2016,,,http://www.megaconvention.com/,,
Amazing Houston Comic Con,,Houston,TX,United States,09/03/2016,09/04/2016,,,http://www.amazinghoustoncomiccon.com/,,
Cincy ComiCon,Northern Kentucky Convention Center,Covington,KY,United States,09/09/2016,09/11/2016,39.083671,-84.508554,http://www.cincycomicon.com,,
Denver Comic Con,Colorado Convention Center,Denver,CO,United States,06/17/2016,06/19/2016,39.742476,-104.996511,http://www.denvercomiccon.com/,,
RocCon,Rochester Main Street Armory,Rochester,NY,United States,09/09/2016,09/11/2016,,,http://www.roccon.net/,,
Derby City Comic Con,Kentucky International Convention Center,Louisville,KY,United States,06/26/2016,06/27/2016,38.252665,-85.758456,http://www.derbycitycomiccon.com/,,
Kids Con New England,,Concord,NH,United States,06/11/2016,,43.208137,-71.537572,http://www.kidsconne.com/,,
Boston Comic Con,Seaport World Trade Center,Boston,MA,United States,08/12/2016,08/14/2016,42.348696,-71.042529,http://bostoncomiccon.com/,,
Ottawa Comiccon,,Ottawa,ON,Canada,05/14/2016,05/15/2016,45.421530,-75.697193,http://www.ottawacomiccon.com/,,
Asheville Zine Fest,,Asheville,NC,United States,05/01/2016,,35.595058,-82.551487,http://ashevillezinefest.com/,,
WonderCon,Los Angeles Convention Center,Los Angeles,CA,United States,03/25/2016,03/27/2016,34.039797,-118.271773,http://www.comic-con.org/wca,,
Comic-Con International: San Diego,"San Diego Convention Center, 111 W. Harbor Drive",San Diego,CA,United States,07/20/2016,07/24/2016,32.705185,-117.161407,http://www.comic-con.org/,,
CONjure,DoubleTree Hotel at the Entrance to Universal Orlando,Orlando,FL,United States,03/05/2016,03/06/2016,28.538335,-81.379237,http://www.dreamconorlando.com/,,
San Diego Comic Fest,Town and Country Resort and Conference Center,San Diego,CA,United States,02/12/2016,02/14/2016,,,http://www.sdcomicfest.org/,,
Cincinnati Comic Expo,Duke Energy Convention Center,Cincinnati,OH,United States,09/23/2016,09/25/2016,,,http://cincinnaticomicexpo.com/,,
Buckeye Comic Con,Courtyard Columbus West,Columbus,OH,United States,04/24/2016,,39.956111,-82.936963,http://www.harpercomics.com/,,
Salt Lake Comic Con,South Towne Exposition Center,Sandy,UT,United States,03/24/2016,03/26/2016,40.564978,-111.838973,http://saltlakecomiccon.com/,,
Greenville Comic Con,,Greenville,SC,United States,07/15/2016,07/17/2016,34.852618,-82.394010,http://www.myspace.com/greenvillecomicshow,,
"Cleveland Comic, Card and Nostalgia Show","American Legion, 22001 Brook Park Road",Cleveland,OH,United States,03/13/2016,,41.363196,-81.847557,http://www.harpercomics.com/conventions.php,,
Salón del Cómic de Granada,,Granada,,Spain,03/10/2016,03/13/2016,37.177336,-3.598557,http://saloncomicgranada.com/,,
Niagara Falls Comic Con,Scotiabank Convention Centre,Niagara Falls,ON,Canada,06/03/2016,06/05/2016,43.089558,-79.084944,http://nfcomiccon.com/,,
